Долгота,Широта,Контрагент,Адрес,вес,кол,сумма,Задание
39.006197,45.157862,Прадо ООО (abs-auto.ru) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),011,350000. Краснодарский край. Динской р-н. Южный п. Северная ул. дом  № 8. корпус А,2.9,4,1 265.35,N1_200918_9317004    сумма-1 265.35
39.006197,45.157862,Прадо ООО (abs-auto.ru) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),011,350000. Краснодарский край. Динской р-н. Южный п. Северная ул. дом  № 8. корпус А,36.2,19,16 182.79,N1_200918_9318491    сумма-23 025.18
39.006197,45.157862,Прадо ООО (abs-auto.ru) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),011,350000. Краснодарский край. Динской р-н. Южный п. Северная ул. дом  № 8. корпус А,8,3,1 348,N1_200918_9319064    сумма-1 348
39.006197,45.157862,Прадо ООО (abs-auto.ru) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),011,350000. Краснодарский край. Динской р-н. Южный п. Северная ул. дом  № 8. корпус А,0.3,1,191.17,N1_210918_9320578    сумма-191.17
39.006197,45.157862,Прадо ООО (abs-auto.ru) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),011,350000. Краснодарский край. Динской р-н. Южный п. Северная ул. дом  № 8. корпус А,27.5,29,10 254.55,N1_210918_9320872    сумма-11 038.07
38.987971,45.096307,Двор-Авто ООО,012,г.Краснодар. ул.Кореновская. 57,20,2,5 290.6,факт
38.948741,45.052571,Прасолова Ю.Е. ИП Кр.Партизан. 375 (kd)~,021,г.Краснодар. ул.Красных Партизан. д.375,20,1,5 798.25,
38.948741,45.052571,Прасолова Ю.Е. ИП Кр.Партизан. 375 (kd)~,021,г.Краснодар. ул.Красных Партизан. д.375,23.7,18,9 214.57,
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,114.9,53,37 109.58,1117858    сумма-16 158.07
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,117.2,40,27 286.55,1118100    сумма-11 846.65
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,515,4,174 172.75,1114666
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,0.1,1,402.06,1114909
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,61.7,48,19 854.08,1118377    сумма-9 563.43
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,34.6,26,12 586.56,1118427    сумма-7 132.74
38.89884,45.06374,ДЕТАЛИ МИРА  (avtoto.ru) до 16:00 !!! (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),023,350039. г.Краснодар. проезд Майский. 20,87.1,49,28 378.58,1118569    сумма-18 441.36
38.896665,45.063296,СКЛ Групп ООО,023,г.Краснодар. проезд Майский. 20/1,69.5,3,39 877.55,
38.896665,45.063296,СКЛ Групп ООО,023,г.Краснодар. проезд Майский. 20/1,379.8,7,183 650.63,
38.896665,45.063296,Смирнов В.П ИП (СКЛ Групп ООО),023,г.Краснодар. проезд Майский. 20/1,30,1,17 398.9,
