Долгота,Широта,Контрагент,Адрес,вес,кол,сумма,Задание
39.058057,45.033445,Автопитер ООО (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),041,г.Краснодар. ул.Уральская. д.112,23.3,5,3 358.95,6123570    сумма-2 956.83
39.058057,45.033445,Автопитер ООО (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),041,г.Краснодар. ул.Уральская. д.112,0.2,1,152.76,6124361    сумма-76.38
39.058057,45.033445,Автопитер ООО (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),041,г.Краснодар. ул.Уральская. д.112,0.7,1,224.12,6125485    сумма-112.06
39.058057,45.033445,Автопитер ООО (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),041,г.Краснодар. ул.Уральская. д.112,12.4,7,6 173.24,6127011    сумма-2 016.31
39.096298,45.04589,АВТОРЕМЦЕНТР ООО,041,г.Краснодар.ул.Уральская.149/Г,7,1,4 187.19,
39.024756,45.025794,Автоформула ЗАО (emex.ru) (!) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),041,г.Краснодар. ул. 2-я Пятилетка. 23/2,25.4,4,8 412.35,ЗаказЗП-А135355_2018920    сумма-8 584.78
39.024756,45.025794,Автоформула ЗАО (emex.ru) (!) (ОТГРУЖАТЬ ТОЛЬКО В ТОВАРНОМ ВИДЕ!),041,г.Краснодар. ул. 2-я Пятилетка. 23/2,10.6,4,6 159.47,ЗаказЗП-А135612_2018921    сумма-1 101.3
39.0167,45.028817,Ганцев Н.В. ИП,041,г. Краснодар. ул. Селезнева. 1,28.1,11,7 008.14,
39.066555,45.025317,Маренченко Д.В ИП,041,г.Краснодар. ул.Камвольная. 1,28.2,2,15 243.24,
39.056745,45.029541,Меркурий ООО ул.Л.Чайкиной ~ СЧЕТА !!!!,041,г.Краснодар. ул.Л.Чайкиной. 1/8,54.9,17,8 318.05,просто отдать коробку
39.125269,45.043706,Профит-Лига ООО,041,350080. г.Краснодар г.. Уральская ул.. дом № 151/1,22,7,3 489.73,88
39.125269,45.043706,Профит-Лига ООО,041,350080. г.Краснодар г.. Уральская ул.. дом № 151/1,12.5,9,6 299.42,89
39.125269,45.043706,Профит-Лига ООО,041,350080. г.Краснодар г.. Уральская ул.. дом № 151/1,61,4,9 112.24,90
39.057455,45.028191,Чаленко Н.С. ИП~,041,г.Краснодар. ул. Лизы Чайкиной. 17 маг № 10,142.5,52,20 474.15,забрать 21000р
39.057455,45.028191,Чаленко Н.С. ИП~,041,г.Краснодар. ул. Лизы Чайкиной. 17 маг № 10,23,3,2 049.36,
39.027307,45.027283,Чалик В.В. ИП ул.Селезнева  $A,041,г.Краснодар. ул.Селезнева. 87,99,10,25 264.6,
39.035347,45.01834,Автолавка ООО ОП (autodoc.ru) ( до 15:00 !!!) Ставропольская,042,350058. Краснодарский край. г.Краснодар. ул.Ставропольская. д. 157,0.2,1,102,
39.024778,45.015682,Кравченко Р.А. ИП (бывший Рыбальченко Г.С.),042,г.Краснодар. ул.Ковтюха. 214,116.2,17,13 982.65,
39.008367,45.025013,Мороз А.С. ИП Шевченко 168 (kd)~(Прасолова Ю.Е.)  $A,042,г.Краснодар. ул.Шевченко. 168,26,12,6 367.14,
39.066838,45.031823,Кутняхов Е.Д.,051,г.Краснодар. ул.Онежская. 35/1,17.6,6,6 586.7,фак
39.099442,45.007951,Краснодаравтотранс ООО (!),052,г. Краснодар. ул Бородинская 154/4 (тер. Автоколонны),910.6,4,113 309.11,
39.129089,45.035417,Лямкина З.К. (бывший ЧАП),052,г. Краснодар. ул. Бершанская. 349,14.4,3,2 994.8,
